"Zipcode","City","State","Lat","Long","Location"
"35662","MUSCLE SHOALS","AL",34.74,-87.64,"NA-US-AL-MUSCLE SHOALS"
"36763","MYRTLEWOOD","AL",32.24,-87.94,"NA-US-AL-MYRTLEWOOD"
"36764","NANAFALIA","AL",32.11,-87.98,"NA-US-AL-NANAFALIA"
"35577","NATURAL BRIDGE","AL",34.1,-87.6,"NA-US-AL-NATURAL BRIDGE"
"35578","NAUVOO","AL",33.98,-87.48,"NA-US-AL-NAUVOO"
"36765","NEWBERN","AL",32.59,-87.53,"NA-US-AL-NEWBERN"
"36351","NEW BROCKTON","AL",31.38,-85.92,"NA-US-AL-NEW BROCKTON"
"35119","NEW CASTLE","AL",33.68,-86.77,"NA-US-AL-NEW CASTLE"
"35760","NEW HOPE","AL",34.53,-86.41,"NA-US-AL-NEW HOPE"
"35761","NEW MARKET","AL",34.9,-86.42,"NA-US-AL-NEW MARKET"
"36352","NEWTON","AL",31.33,-85.6,"NA-US-AL-NEWTON"
"36353","NEWVILLE","AL",31.42,-85.33,"NA-US-AL-NEWVILLE"
"35762","NORMAL","AL",34.79,-86.7,"NA-US-AL-NORMAL"
"35473","NORTHPORT","AL",33.24,-87.59,"NA-US-AL-NORTHPORT"
"35475","NORTHPORT","AL",33.24,-87.59,"NA-US-AL-NORTHPORT"
"35476","NORTHPORT","AL",33.24,-87.59,"NA-US-AL-NORTHPORT"
"36866","NOTASULGA","AL",32.55,-85.67,"NA-US-AL-NOTASULGA"
"36766","OAK HILL","AL",31.92,-87.08,"NA-US-AL-OAK HILL"
"35579","OAKMAN","AL",33.71,-87.38,"NA-US-AL-OAKMAN"
"35120","ODENVILLE","AL",33.68,-86.39,"NA-US-AL-ODENVILLE"
"36271","OHATCHEE","AL",33.78,-86.01,"NA-US-AL-OHATCHEE"
"35121","ONEONTA","AL",33.95,-86.47,"NA-US-AL-ONEONTA"
"36801","OPELIKA","AL",32.65,-85.37,"NA-US-AL-OPELIKA"
"36802","OPELIKA","AL",32.65,-85.37,"NA-US-AL-OPELIKA"
"36803","OPELIKA","AL",32.65,-85.37,"NA-US-AL-OPELIKA"
"36804","OPELIKA","AL",32.65,-85.37,"NA-US-AL-OPELIKA"
"36467","OPP","AL",31.29,-86.25,"NA-US-AL-OPP"
"36561","ORANGE BEACH","AL",30.28,-87.59,"NA-US-AL-ORANGE BEACH"
"36767","ORRVILLE","AL",32.3,-87.24,"NA-US-AL-ORRVILLE"
"35763","OWENS CROSS ROADS","AL",34.6,-86.46,"NA-US-AL-OWENS CROSS ROADS"
"36360","OZARK","AL",31.43,-85.64,"NA-US-AL-OZARK"
"36361","OZARK","AL",31.43,-85.64,"NA-US-AL-OZARK"
"35764","PAINT ROCK","AL",34.66,-86.32,"NA-US-AL-PAINT ROCK"
"35123","PALMERDALE","AL",33.74,-86.65,"NA-US-AL-PALMERDALE"
"35477","PANOLA","AL",32.96,-88.29,"NA-US-AL-PANOLA"
"36370","PANSEY","AL",31.15,-85.17,"NA-US-AL-PANSEY"
"35580","PARRISH","AL",33.73,-87.28,"NA-US-AL-PARRISH"
"35124","PELHAM","AL",33.3,-86.79,"NA-US-AL-PELHAM"
"35125","PELL CITY","AL",33.56,-86.27,"NA-US-AL-PELL CITY"
"35128","PELL CITY","AL",33.56,-86.27,"NA-US-AL-PELL CITY"
"36562","PERDIDO","AL",31,-87.62,"NA-US-AL-PERDIDO"
"36470","PERDUE HILL","AL",31.51,-87.49,"NA-US-AL-PERDUE HILL"
"36471","PETERMAN","AL",31.58,-87.25,"NA-US-AL-PETERMAN"
"35478","PETERSON","AL",33.31,-87.32,"NA-US-AL-PETERSON"
"36867","PHENIX CITY","AL",32.46,-85.01,"NA-US-AL-PHENIX CITY"
"36868","PHENIX CITY","AL",32.46,-85.01,"NA-US-AL-PHENIX CITY"
"36869","PHENIX CITY","AL",32.46,-85.01,"NA-US-AL-PHENIX CITY"
"36870","PHENIX CITY","AL",32.46,-85.01,"NA-US-AL-PHENIX CITY"
"35581","PHIL CAMPBELL","AL",34.35,-87.7,"NA-US-AL-PHIL CAMPBELL"
"36272","PIEDMONT","AL",33.92,-85.61,"NA-US-AL-PIEDMONT"
"36064","PIKE ROAD","AL",32.3,-86.08,"NA-US-AL-PIKE ROAD"
"36371","PINCKARD","AL",31.32,-85.54,"NA-US-AL-PINCKARD"
